paradigm,complexity,human_mean,human_std,human_n,ai_mean,ai_std,ai_n,difference,percent_diff,p_value,significant,effect_size
Imperative,4,3.4761904761904763,1.2580804584402767,21,2.0,1.4142135623730951,3,-1.4761904761904763,-42.465753424657535,0.18750718363983854,False,-1.102930503795471
Imperative,5,3.761904761904762,2.021427169218202,21,5.8,3.026549190084311,10,2.038095238095238,54.177215189873415,0.07111758163585602,False,0.7919437686625551
Imperative,6,4.466666666666667,1.7650936393164969,30,5.846153846153846,4.110888989503811,13,1.379487179487179,30.884041331802514,0.3546179704097565,False,0.4360690478382108
Imperative,7,6.375,2.341874249399399,16,8.0,2.7613402542968153,16,1.625,25.49019607843137,0.1956462773771701,False,0.6347129652620561
Imperative,8,9.0,1.7888543819998317,10,9.357142857142858,3.6763169235593627,14,0.35714285714285765,3.9682539682539737,0.8588794543565963,False,0.12353778183984183
Imperative,9,11.4,3.97994974842648,5,13.416666666666666,5.282965286865154,12,2.0166666666666657,17.690058479532155,0.7094436023583441,False,0.4311828391219605
Imperative,10,16.666666666666668,7.586537784494028,3,21.785714285714285,12.403025196040096,42,5.119047619047617,30.7142857142857,0.42507656762846124,False,0.4979220308897559
Algorithmic,3,2.8,1.0456258094238748,15,1.6,1.2,5,-1.1999999999999997,-42.85714285714285,0.06958782688065145,False,-1.0662279799663659
Algorithmic,4,3.7,1.7916472867168916,10,3.0,2.0,4,-0.7000000000000002,-18.918918918918923,0.8262672856004697,False,-0.3686764572048064
Algorithmic,5,4.285714285714286,1.2777531299998797,7,2.5,2.598076211353316,4,-1.7857142857142856,-41.666666666666664,0.17573433564422514,False,-0.8722404533150646
Algorithmic,6,4.9,1.972308292331602,10,6.571428571428571,4.304719763805532,7,1.6714285714285708,34.11078717201165,0.4905107293563138,False,0.4992051828860481
Algorithmic,7,7.25,1.920286436967152,4,7.0,3.082207001484488,8,-0.25,-3.4482758620689653,1.0,False,-0.09735847670224711
Algorithmic,8,7.0,0.0,1,9.5,2.598076211353316,8,2.5,35.714285714285715,0.3308985460287247,False,1.3608276348795434
Object-Oriented,7,5.0,1.0,2,8.0,0.0,1,3.0,60.0,0.6666666666666666,False,4.242640687119285
